Harga,Kamar Tidur,Kamar Mandi,Garasi,Luas Tanah,Luas Bangunan,Kecamatan,Page
"2,37 Miliar Total",LT:615 m²,,,,,Sukmajaya,39
210 Juta,2,1,LT:60 m²,LB : 60 m²,,Citayam,39
1 Miliar,3,2,1,LT : 105 m²,LB : 90 m²,Depok I,39
"2,55 Miliar Total",LT:615 m²,,,,,Sukmajaya,39
4 Miliar,5,3,4,LT : 493 m²,LB : 338 m²,Cinere,39
"1,8 Miliar",4,4,1,LT : 105 m²,LB : 125 m²,Cinere,39
"3,5 Miliar",3,3,1,LT : 214 m²,LB : 102 m²,Pangkalan Jati,39
"4,4 Miliar Total",LT:400 m²,,,,,Cibubur,39
"22,2 Miliar Total",LT:2217 m²,,,,,Pangkalan Jati,40
1 Miliar,4,3,2,LT : 98 m²,LB : 225 m²,Depok II,40
2 Miliar,3,3,2,LT : 100 m²,LB : 146 m²,Cinere,40
900 Juta,3,1,1,LT : 167 m²,LB : 90 m²,Sawangan,40
"2,55 Miliar",4,6,2,LT : 232 m²,LB : 260 m²,Depok II,40
"4,8 Miliar",5,3,2,LT : 240 m²,LB : 280 m²,Depok II,40
"1,8 Miliar",3,3,2,LT : 100 m²,LB : 135 m²,Cinere,40
2 Miliar Total,3,LT:45 m²,LB:200 m²,,,Cilodong,40
"1,4 Miliar Total",1,LT:50 m²,LB:100 m²,,,Sawangan,40
"2,1 Miliar",3,3,2,LT : 194 m²,LB : 143 m²,Depok I,40
"8,3 Miliar Total",LT:1500 m²,,,,,Cinere,40
16 Miliar Total,LT:803 m²,,,,,Cinere,40
"3,6 Miliar Total",LT:300 m²,,,,,Pangkalan Jati,40
"1,8 Miliar",3,2,2,LT : 170 m²,LB : 152 m²,Cinere,40
"3,2 Miliar Total",LT:388 m²,,,,,Cinere,40
"3,75 Miliar Total",2,LT:135 m²,LB:95 m²,,,Cinere,40
10 Miliar Total,LT:811 m²,,,,,Cinere,40
"6,6 Miliar Total",LT:1772 m²,,,,,Harjamukti,40
"2,25 Miliar",3,3,1,LT : 200 m²,LB : 243 m²,Cinere,40
"4,6 Miliar Total",14,2,LT:300 m²,LB : 750 m²,,Sukmajaya,40
15 Miliar Total,2,LT:900 m²,LB:900 m²,,,Sawangan,41
15 Miliar Total,2,LT:900 m²,LB:900 m²,,,Sawangan,41
"7,1 Miliar",3,3,2,LT : 500 m²,LB : 600 m²,Cinere,41
"3,5 Miliar Total",6,LT:181 m²,LB:400 m²,,,Cinere,41
"2,5 Miliar",3,2,1,LT : 142 m²,LB : 98 m²,Cinere,41
"5,55 Miliar",7,5,4,LT : 840 m²,LB : 225 m²,Mekarsari,41
"4,5 Miliar",7,5,4,LT : 600 m²,LB : 400 m²,Cinere,41
"14,9 Miliar",1,1,LT:880 m²,LB : 200 m²,,Margonda,41
3 Miliar,3,2,2,LT : 300 m²,LB : 160 m²,Cinere,41
"10,9 Miliar",8,5,9,LT : 2057 m²,LB : 1000 m²,Sawangan,41
599 Juta,2,1,LT:72 m²,LB : 50 m²,,Beji,41
39 Miliar Total,LT:2600 m²,,,,,Sawangan,41
2 Miliar Total,1,LT:200 m²,LB:240 m²,,,Sawangan,41
900 Juta,3,3,LT:72 m²,LB : 150 m²,,Sawangan,41
6 Miliar,5,2,LT:320 m²,LB : 161 m²,,Kelapa Dua,41
"3,4 Miliar",4,4,LT:182 m²,LB : 200 m²,,Cinere,41
837 Juta,3,2,2,LT : 66 m²,LB : 75 m²,Cinangka,41
"1,2 Miliar",3,2,2,LT : 104 m²,LB : 150 m²,Harjamukti,41
700 Juta,3,2,1,LT : 54 m²,LB : 96 m²,Harjamukti,41
680 Juta,2,1,1,LT : 76 m²,LB : 40 m²,Cilodong,41
"1,75 Miliar",3,2,2,LT : 120 m²,LB : 86 m²,Cibubur,42
"4,7 Miliar Total",LT:1603 m²,,,,,Depok II,42
"1,6 Miliar",4,2,1,LT : 65 m²,LB : 120 m²,Kukusan,42
56 Juta,2,2,1,LT : 72 m²,LB : 50 m²,Cilodong,42
"1,5 Miliar",5,3,1,LT : 90 m²,LB : 104 m²,Cinere,42
725 Juta,2,1,1,LT : 77 m²,LB : 77 m²,Sukmajaya,42
600 Juta,1,1,LB:30 m²,,,Margonda,42
40 Miliar,4,4,8,LT : 3940 m²,LB : 400 m²,Cinere,42
"4,85 Miliar",4,4,1,LT : 328 m²,LB : 280 m²,Cinere,42
400 Juta,2,1,LB:38 m²,,,Cinere,42
"4,8 Miliar Total",2,LT:166 m²,LB:270 m²,,,Cinere,42
"6,2 Miliar",4,4,2,LT : 190 m²,LB : 293 m²,Pangkalan Jati,42
"6,1 Miliar Total",LT:870 m²,,,,,Limo,42
"1,5 Miliar",3,2,1,LT : 80 m²,LB : 106 m²,Cinere,42
"2,1 Miliar",3,2,1,LT : 120 m²,LB : 83 m²,Cinere,42
"8,5 Miliar Total",3,LT:222 m²,LB:480 m²,,,Sukmajaya,42
25 Miliar Total,LT:1354 m²,LB:3000 m²,,,,Citayam,42
3 Miliar,5,3,1,LT : 150 m²,LB : 195 m²,Cimanggis,42
"1,4 Miliar Total",LT:180 m²,,,,,Sukmajaya,42
1 Miliar,2,2,2,LT : 172 m²,LB : 100 m²,Cilodong,42
3 Miliar,4,4,2,LT : 144 m²,LB : 206 m²,Sawangan,43
436 Juta,2,1,1,LT : 72 m²,LB : 36 m²,Sawangan,43
"1,85 Miliar",3,2,1,LT : 120 m²,LB : 98 m²,Sukmajaya,43
"3,5 Miliar",26,10,1,LT : 220 m²,LB : 450 m²,Beji,43
"4,5 Miliar",4,3,1,LT : 300 m²,LB : 380 m²,Depok I,43
"8,8 Miliar",6,5,4,LT : 596 m²,LB : 700 m²,Cinere,43
400 Juta,2,1,2,LT : 68 m²,LB : 45 m²,Citayam,43
400 Juta,2,1,2,LT : 72 m²,LB : 45 m²,Citayam,43
400 Juta,2,1,1,LT : 66 m²,LB : 48 m²,Citayam,43
"3,3 Miliar",5,4,1,LT : 240 m²,LB : 260 m²,Cinere,43
"11,5 Miliar",9,6,2,LT : 875 m²,LB : 578 m²,Cinere,43
"1,5 Miliar Total",LT:150 m²,,,,,Cinere,43
950 Juta,2,1,1,LT : 133 m²,LB : 50 m²,Sawangan,43
250 Juta,1,1,LT:50 m²,LB : 50 m²,,Sukmajaya,43
"1,4 Miliar",3,3,2,LT : 102 m²,LB : 125 m²,Krukut,43
"1,1 Miliar",3,3,2,LT : 68 m²,LB : 84 m²,Pancoran Mas,43
"1,25 Miliar",3,3,1,LT : 72 m²,LB : 76 m²,Sawangan,43
650 Juta,3,2,1,LT : 60 m²,LB : 60 m²,Cilodong,43
"16,8 Miliar",4,4,2,LT : 1050 m²,LB : 600 m²,Cibubur,43
"2,75 Miliar",3,2,1,LT : 160 m²,LB : 250 m²,Cibubur,43
"4,3 Miliar",4,4,2,LT : 240 m²,LB : 375 m²,Cinere,44
"1,7 Miliar Total",LT:764 m²,,,,,Tapos,44
2 Miliar Total,LT:598 m²,,,,,Tapos,44
"1,35 Miliar",3,5,1,LT : 98 m²,LB : 150 m²,Tapos,44
"2,75 Miliar",3,2,1,LT : 160 m²,LB : 250 m²,Cibubur,44
"2,39 Miliar",4,3,1,LT : 250 m²,LB : 144 m²,Cinere,44
"7,2 Miliar",5,4,2,LT : 555 m²,LB : 800 m²,Cibubur,44
325 Juta,1,LB:24 m²,,,,Margonda,44
"2,2 Miliar",6,7,LT:192 m²,LB : 150 m²,,Margonda,44
"14,5 Miliar Total",LT:2070 m²,,,,,Tapos,44
"3,3 Miliar Total",3,LT:130 m²,LB:230 m²,,,Margonda,44
"3,75 Miliar",2,3,1,LT : 250 m²,LB : 248 m²,Cinere,44
"3,2 Miliar",3,2,2,LT : 178 m²,LB : 156 m²,Cinere,44
895 Juta,2,1,2,LT : 84 m²,LB : 52 m²,Sawangan,44
900 Juta,2,2,2,LT : 60 m²,LB : 40 m²,Sawangan,44
1 Miliar,3,3,2,LT : 84 m²,LB : 80 m²,Sawangan,44
"1,2 Miliar",3,3,2,LT : 66 m²,LB : 77 m²,Sawangan,44
471 Juta,3,2,1,LT : 72 m²,LB : 36 m²,Citayam,44
471 Juta,3,2,1,LT : 72 m²,LB : 36 m²,Citayam,44
650 Juta,2,1,1,LT : 60 m²,LB : 40 m²,Rangkapanjaya,44
650 Juta,2,1,1,LT : 60 m²,LB : 40 m²,Krukut,45
800 Juta,3,2,1,LT : 40 m²,LB : 80 m²,Sawangan,45
"9,5 Miliar Total",LT:838 m²,,,,,Cibubur,45
550 Juta,LB:30 m²,,,,,Margonda,45
"1,35 Miliar",3,2,LB:71 m²,,,Cibubur,45
5 Miliar,5,4,LT:525 m²,LB : 200 m²,,Beji,45
800 Juta,3,2,1,LT : 48 m²,LB : 80 m²,Cinangka,45
680 Juta Total,LT:1000 m²,,,,,Kelapa Dua,45
680 Juta Total,LT:1000 m²,,,,,Tapos,45
"1,8 Miliar Total",LT:740 m²,,,,,Cinangka,45
"5,3 Miliar Total",LT:2218 m²,,,,,Cinangka,45
"1,85 Miliar Total",2,LT:90 m²,LB:180 m²,,,Sawangan,45
350 Juta,1,1,LB:22 m²,,,Kukusan,45
350 Juta,1,1,LB:22 m²,,,Kukusan,45
"1,35 Miliar",3,3,2,LT : 120 m²,LB : 120 m²,Sawangan,45
2 Miliar Total,LT:263 m²,,,,,Cimanggis,45
"2,9 Miliar",4,4,1,LT : 160 m²,LB : 240 m²,Cinere,45
"2,9 Miliar Total",3,LT:150 m²,LB:150 m²,,,Cinere,45
"1,57 Miliar",3,3,1,LT : 66 m²,LB : 125 m²,Tanah Baru,45
"1,25 Miliar",3,3,LT:64 m²,LB : 120 m²,,Tanah Baru,45
"1,7 Miliar",4,4,2,LT : 78 m²,LB : 130 m²,Tanah Baru,46
550 Juta,2,1,1,LT : 81 m²,LB : 45 m²,Tapos,46
"2,35 Miliar",4,2,1,LT : 132 m²,LB : 160 m²,Cinere,46
"5,5 Miliar",5,4,2,LT : 375 m²,LB : 500 m²,Cinere,46
"1,92 Miliar",4,2,2,LT : 105 m²,LB : 210 m²,Cinere,46
"1,95 Miliar",4,3,2,LT : 105 m²,LB : 115 m²,Cinere,46
"4,75 Miliar",4,4,1,LT : 300 m²,LB : 400 m²,Cinere,46
"1,85 Miliar",4,3,1,LT : 173 m²,LB : 170 m²,Krukut,46
"1,3 Miliar",2,2,1,LT : 112 m²,LB : 95 m²,Cinere,46
12 Miliar,4,3,2,LT : 600 m²,LB : 300 m²,Pangkalan Jati,46
"2,5 Miliar",3,2,1,LT : 216 m²,LB : 150 m²,Cinere,46
"4,65 Miliar",4,3,2,LT : 300 m²,LB : 250 m²,Cinere,46
"3,4 Miliar",4,5,2,LT : 200 m²,LB : 200 m²,Cinere,46
"1,4 Miliar",2,2,1,LT : 112 m²,LB : 114 m²,Cibubur,46
385 Juta Total,1,LT:77 m²,LB:36 m²,,,Sawangan,46
500 Juta Total,2,LT:900 m²,LB:650 m²,,,Sawangan,46
15 Miliar Total,2,LT:900 m²,LB:650 m²,,,Sawangan,46
600 Juta,2,1,1,LT : 60 m²,LB : 40 m²,Citayam,46
971 Juta,3,2,1,LT : 78 m²,LB : 80 m²,Tapos,46
"2,31 Juta Total",3,LT:74 m²,LB:130 m²,,,Sawangan,46
"1,6 Miliar",3,2,2,LT : 83 m²,LB : 108 m²,Beji,47
"2,75 Miliar",6,3,2,LT : 225 m²,LB : 240 m²,Cinere,47
"1,5 Miliar",2,1,1,LT : 205 m²,LB : 51 m²,Sawangan,47
400 Juta Total,LT:500 m²,,,,,Cibubur,47
780 Juta Total,LT:1000 m²,,,,,Cibubur,47
"4,95 Miliar Total",19,LT:647 m²,LB:400 m²,,,Pangkalan Jati,47
"7,9 Miliar",4,3,2,LT : 310 m²,LB : 350 m²,Pangkalan Jati,47
3 Miliar,5,3,2,LT : 380 m²,LB : 260 m²,Cinere,47
180 Juta,2,2,1,LT : 72 m²,LB : 50 m²,Pancoran Mas,47
"2,75 Miliar Total",3,LT:92 m²,LB:222 m²,,,Sawangan,47
267 Juta,2,1,LT:34 m²,LB : 20 m²,,Sawangan,47
"4,75 Miliar Total",LT:500 m²,,,,,Pangkalan Jati,47
850 Juta,3,1,LT:109 m²,LB : 60 m²,,Bojong Sari,47
"1,2 Miliar",2,1,LT:184 m²,LB : 130 m²,,Cilodong,47
"1,05 Miliar",1,2,LT:96 m²,LB : 54 m²,,Pancoran Mas,47
195 Juta,1,LB:20 m²,,,,Margonda,47
"1,85 Miliar",3,3,LT:144 m²,LB : 150 m²,,Sawangan,47
980 Juta,3,1,1,LT : 93 m²,LB : 93 m²,Pancoran Mas,47
7 Miliar,4,4,2,LT : 745 m²,LB : 400 m²,Cinere,47
30 Miliar,11,10,8,LT : 1428 m²,LB : 1200 m²,Cinere,47
175 Juta,2,2,1,LT : 70 m²,LB : 51 m²,Pasir Putih,48
500 Juta,1,1,LB:25 m²,,,Beji,48
1 Miliar,1,1,LB:34 m²,,,Beji,48
560 Juta,1,1,LB:25 m²,,,Margonda,48
490 Juta,1,1,LB:25 m²,,,Margonda,48
619 Juta Total,LT:81 m²,,,,,Gandul,48
"1,2 Miliar",2,2,LT:144 m²,LB : 68 m²,,Sawangan,48
980 Juta,2,2,1,LT : 85 m²,LB : 70 m²,Cinere,48
"2,5 Miliar",4,3,LT:150 m²,LB : 200 m²,,Harjamukti,48
"3,2 Miliar",4,4,LT:266 m²,LB : 300 m²,,Harjamukti,48
"3,4 Miliar",5,6,LT:180 m²,LB : 250 m²,,Cibubur,48
800 Juta,2,1,1,LT : 140 m²,LB : 60 m²,Bojong Sari,48
"44,1 Miliar Total",LT:3900 m²,,,,,Cinere,48
"5,5 Miliar",4,2,2,LT : 525 m²,LB : 250 m²,Cinere,48
575 Juta,2,1,LT:84 m²,LB : 52 m²,,Sawangan,48
350 Juta,2,1,1,LT : 53 m²,LB : 36 m²,Depok I,48
"3,6 Miliar Total",3,LT:77 m²,LB:142 m²,,,Cibubur,48
"1,5 Miliar",2,2,1,LT : 144 m²,LB : 120 m²,Tapos,48
"3,75 Miliar Total",2,LT:135 m²,LB:95 m²,,,Cinere,48
"3,7 Miliar",4,3,1,LT : 294 m²,LB : 307 m²,Cinere,48
98 Juta,4,2,2,LT : 100 m²,LB : 73 m²,Cilodong,49
"9,1 Juta Total",3,LT:370 m²,LB:800 m²,,,Margonda,49
850 Juta,2,1,1,LT : 82 m²,LB : 52 m²,Cinere,49
"10,7 Miliar",2,3,2,LT : 767 m²,LB : 350 m²,Cinere,49
"1,3 Miliar",2,1,1,LT : 84 m²,LB : 45 m²,Cinere,49
"1,39 Miliar",4,3,LT:100 m²,LB : 160 m²,,Cimanggis,49
900 Juta,3,2,LT:53 m²,LB : 70 m²,,Kukusan,49
"4,75 Miliar",4,4,2,LT : 370 m²,LB : 500 m²,Cinere,49
"3,1 Miliar",4,4,6,LT : 182 m²,LB : 200 m²,Cinere,49
"2,7 Miliar",5,3,1,LT : 308 m²,LB : 500 m²,Cinere,49
12 Miliar,7,5,14,LT : 1060 m²,LB : 550 m²,Cimanggis,49
865 Juta,3,2,2,LT : 64 m²,LB : 70 m²,Tapos,49
"1,6 Miliar",3,2,2,LT : 84 m²,LB : 110 m²,Cinere,49
"1,4 Miliar",4,3,1,LT : 145 m²,LB : 130 m²,Limo,49
450 Juta,2,1,1,LT : 48 m²,LB : 36 m²,Cilodong,49
"1,5 Miliar Total",LT:330 m²,,,,,Cilodong,49
"1,57 Miliar",3,2,1,LT : 88 m²,LB : 79 m²,Sawangan,49
"2,9 Miliar Total",3,LT:100 m²,LB:300 m²,,,Margonda,49
"4,3 Miliar",4,4,1,LT : 175 m²,LB : 275 m²,Cibubur,49
"9,3 Miliar Total",3,LT:370 m²,LB:800 m²,,,Margonda,49
"1,2 Miliar",3,2,1,LT : 60 m²,LB : 120 m²,Tanah Baru,50
700 Juta,3,2,1,LT : 42 m²,LB : 54 m²,Kukusan,50
"1,4 Miliar",3,2,1,LT : 70 m²,LB : 80 m²,Kukusan,50
800 Juta,3,2,1,LT : 45 m²,LB : 69 m²,Kelapa Dua,50
912 Juta,3,2,1,LT : 41 m²,LB : 54 m²,Kukusan,50
535 Juta,1,1,LB:30 m²,,,Margonda,50
"2,85 Miliar",7,5,2,LT : 280 m²,LB : 450 m²,Cimanggis,50
"6,6 Miliar Total",LT:600 m²,,,,,Cinere,50
"2,5 Miliar",4,3,LT:200 m²,LB : 220 m²,,Cinere,50
"2,5 Miliar",3,2,3,LT : 456 m²,LB : 250 m²,Cinere,50
1 Miliar,3,3,1,LT : 65 m²,LB : 78 m²,Pasir Putih,50
1 Miliar,3,3,1,LT : 65 m²,LB : 78 m²,Bojong Sari,50
1 Miliar,4,3,2,LT : 77 m²,LB : 101 m²,Sawangan,50
"1,3 Miliar Total",2,LT:52 m²,LB:86 m²,,,Pasir Putih,50
"1,1 Miliar",5,2,1,LT : 130 m²,LB : 80 m²,Beji,50
"1,1 Miliar",3,2,1,LT : 107 m²,LB : 100 m²,Cinere,50
2 Miliar,3,2,1,LT : 96 m²,LB : 100 m²,Cimanggis,50
"9,75 Miliar",5,3,2,LT : 800 m²,LB : 325 m²,Cinere,50
"1,8 Miliar",5,3,1,LT : 157 m²,LB : 110 m²,Cinere,50
"1,9 Miliar",4,2,2,LT : 157 m²,LB : 110 m²,Cinere,50
"1,25 Miliar",3,3,2,LT : 100 m²,LB : 113 m²,Rangkapanjaya,51
"2,75 Miliar",1,3,2,LT : 276 m²,LB : 170 m²,Cimanggis,51
"7,5 Miliar",4,5,5,LT : 617 m²,LB : 360 m²,Harjamukti,51
"3,4 Miliar",4,5,1,LT : 180 m²,LB : 250 m²,Harjamukti,51
"13,5 Miliar",8,5,4,LT : 1125 m²,LB : 1620 m²,Limo,51
2 Miliar Total,LT:391 m²,LB:23 m²,,,,Tapos,51
975 Juta,3,2,LT:61 m²,LB : 55 m²,,Limo,51
"1,99 Miliar Total",3,LT:106 m²,LB:60 m²,,,Tapos,51
567 Juta,2,1,1,LT : 71 m²,LB : 36 m²,Cilangkap,51
395 Juta,2,1,1,LT : 72 m²,LB : 36 m²,Citayam,51
875 Juta,2,1,1,LT : 85 m²,LB : 40 m²,Limo,51
400 Juta,2,2,LB:40 m²,,,Margonda,51
"113,3 Miliar Total",LT:13330 m²,,,,,Cinere,51
"4,3 Miliar",4,3,1,LT : 350 m²,LB : 300 m²,Cinere,51
"2,8 Miliar Total",1,LT:920 m²,LB:400 m²,,,Sawangan,51
550 Juta,2,1,LB:36 m²,,,Margonda,51
766 Juta,2,2,2,LT : 62 m²,LB : 58 m²,Tapos,51
38 Miliar Total,2,LT:2341 m²,LB:1500 m²,,,Cisalak,51
"1,53 Miliar",3,3,2,LT : 107 m²,LB : 120 m²,Harjamukti,51
100 Miliar Total,LT:19000 m²,,,,,Depok II,51
100 Miliar Total,LT:19000 m²,LB:4000 m²,,,,Depok II,52
100 Miliar Total,LT:19000 m²,LB:4000 m²,,,,Depok II,52
"2,1 Miliar",2,3,2,LT : 202 m²,LB : 93 m²,Cinere,52
750 Juta,2,1,1,LT : 75 m²,LB : 51 m²,Pancoran Mas,52
799 Juta,3,2,2,LT : 56 m²,LB : 72 m²,Cinere,52
"1,2 Miliar",3,2,2,LT : 58 m²,LB : 97 m²,Pancoran Mas,52
178 Juta,2,1,1,LT : 50 m²,LB : 48 m²,Citayam,52
"27,5 Miliar Total",LT:23900 m²,,,,,Beji,52
"2,5 Miliar Total",2,LT:86 m²,LB:250 m²,,,Margonda,52
"45,2 Miliar Total",LT:6020 m²,,,,,Sukmajaya,52
"1,5 Miliar Total",LT:400 m²,,,,,Cilodong,52
260 Juta,1,LB:22 m²,,,,Kukusan,52
"2,2 Miliar Total",LT:300 m²,,,,,Beji,52
"14,5 Miliar Total",LT:1321 m²,,,,,Beji,52
"1,5 Miliar",3,2,1,LT : 120 m²,LB : 150 m²,Sukmajaya,52
"3,5 Miliar",4,4,LT:265 m²,LB : 473 m²,,Depok I,52
"6,5 Miliar",5,5,1,LT : 570 m²,LB : 422 m²,Cinere,52
750 Juta,3,2,1,LT : 45 m²,LB : 72 m²,Cimanggis,52
49 Juta,2,1,1,LT : 60 m²,LB : 36 m²,Citayam,52
"1,49 Miliar",4,3,3,LT : 142 m²,LB : 120 m²,Cilodong,52
"1,3 Miliar",3,3,1,LT : 73 m²,LB : 110 m²,Tanah Baru,53
785 Juta,2,2,1,LT : 85 m²,LB : 85 m²,Sukmajaya,53
7 Miliar Total,LT:900 m²,LB:450 m²,,,,Cisalak,53
"1,9 Miliar",3,3,LT:96 m²,LB : 100 m²,,Cimanggis,53
"2,6 Miliar",3,3,LT:238 m²,LB : 181 m²,,Cimanggis,53
820 Juta,2,11,LT:84 m²,LB : 49 m²,,Tapos,53
"1,1 Miliar",3,2,1,LT : 77 m²,LB : 90 m²,Sukmajaya,53
735 Juta,3,2,1,LT : 46 m²,LB : 70 m²,Sukmajaya,53
"43,2 Miliar Total",LT:13500 m²,,,,,Tapos,53
3 Miliar,3,3,1,LT : 300 m²,LB : 166 m²,Cinere,53
"1,8 Miliar",5,2,1,LT : 148 m²,LB : 120 m²,Cinere,53
"3,25 Miliar",4,3,4,LT : 412 m²,LB : 307 m²,Cinere,53
"3,7 Miliar",4,3,1,LT : 280 m²,LB : 240 m²,Cinere,53
"2,5 Miliar",3,3,2,LT : 276 m²,LB : 170 m²,Tapos,53
810 Juta Total,LT:270 m²,,,,,Beji,53
"1,06 Miliar",5,2,1,LT : 144 m²,LB : 200 m²,Cisalak,53
"1,45 Miliar",4,3,2,LT : 125 m²,LB : 136 m²,Cinere,53
900 Juta,2,1,1,LT : 96 m²,LB : 50 m²,Sawangan,53
700 Juta,3,2,1,LT : 63 m²,LB : 72 m²,Sawangan,53
855 Juta,3,2,1,LT : 74 m²,LB : 80 m²,Sawangan,53
450 Juta,3,2,1,LT : 45 m²,LB : 80 m²,Pancoran Mas,54
"2,7 Miliar",3,2,2,LT : 124 m²,LB : 160 m²,Sukmajaya,54
38 Miliar Total,2,LT:2341 m²,LB:1100 m²,,,Cimanggis,54
725 Juta,1,LB:22 m²,,,,Depok I,54
6 Miliar,4,3,2,LT : 550 m²,LB : 550 m²,Cinere,54
609 Juta Total,LT:81 m²,,,,,Limo,54
"1,2 Miliar",3,2,2,LT : 65 m²,LB : 94 m²,Krukut,54
"1,35 Miliar",2,1,1,LT : 108 m²,LB : 45 m²,Cimanggis,54
30 Miliar,8,4,7,LT : 2520 m²,LB : 600 m²,Depok II,54
"1,5 Miliar",4,2,LT:112 m²,LB : 180 m²,,Bojong Sari,54
600 Juta,2,1,1,LT : 75 m²,LB : 51 m²,Cinere,54
500 Juta,2,1,LB:41 m²,,,Cinere,54
"3,6 Miliar",4,4,LT:223 m²,LB : 195 m²,,Cinere,54
"4,2 Miliar Total",LT:555 m²,,,,,Depok I,54
10 Miliar,6,4,4,LT : 788 m²,LB : 400 m²,Cinere,54
684 Juta,3,2,1,LT : 50 m²,LB : 50 m²,Cinangka,54
684 Juta,3,2,1,LT : 50 m²,LB : 50 m²,Sawangan,54
250 Juta,1,1,LB:21 m²,,,Margonda,54
"1,4 Miliar",2,2,2,LT : 72 m²,LB : 110 m²,Depok II,54
"1,4 Miliar",2,2,1,LT : 144 m²,LB : 100 m²,Sawangan,54
"4,3 Miliar",4,4,1,LT : 175 m²,LB : 275 m²,Cibubur,55
"4,3 Miliar",4,4,3,LT : 175 m²,LB : 275 m²,Cimanggis,55
"1,07 Miliar Total",LT:242 m²,,,,,Sawangan,55
"1,25 Miliar",4,2,1,LT : 104 m²,LB : 190 m²,Beji,55
"1,28 Miliar",3,3,2,LT : 104 m²,LB : 110 m²,Rangkapanjaya,55
436 Juta,2,1,1,LT : 72 m²,LB : 36 m²,Sawangan,55
"1,46 Miliar",4,4,2,LT : 100 m²,LB : 150 m²,Tapos,55
18 Miliar,6,5,26,LT : 5500 m²,LB : 650 m²,Bojong Sari,55
"1,2 Miliar Total",LT:271 m²,,,,,Cilodong,55
"1,2 Miliar Total",LT:131 m²,,,,,Cinere,55
423 Juta Total,LT:141 m²,,,,,Bojong Sari,55
423 Juta Total,LT:141 m²,,,,,Bojong Sari,55
"1,4 Miliar",2,3,2,LT : 160 m²,LB : 62 m²,Sawangan,55
"4,1 Miliar",4,4,1,LT : 155 m²,LB : 202 m²,Pangkalan Jati,55
850 Juta,2,1,1,LT : 81 m²,LB : 60 m²,Depok I,55
8 Miliar Total,3,LT:180 m²,LB:307 m²,,,Margonda,55
"1,55 Miliar",5,4,LT:146 m²,LB : 280 m²,,Cimanggis,55
775 Juta,2,1,LT:64 m²,LB : 45 m²,,Depok I,55
255 Juta,2,1,LT:50 m²,LB : 45 m²,,Depok I,55
775 Juta,2,1,1,LT : 84 m²,LB : 36 m²,Sukmajaya,55
"1,35 Miliar",5,4,2,LT : 120 m²,LB : 240 m²,Depok II,56
"1,5 Miliar",3,2,1,LT : 108 m²,LB : 108 m²,Cinere,56
"3,79 Miliar",5,5,2,LT : 128 m²,LB : 197 m²,Bojong Sari,56
12 Miliar,5,3,2,LT : 738 m²,LB : 300 m²,Pangkalan Jati,56
"2,69 Miliar",4,3,2,LT : 105 m²,LB : 250 m²,Kelapa Dua,56
"4,1 Miliar Total",10,LT:200 m²,LB:150 m²,,,Kelapa Dua,56
850 Juta,3,1,LT:108 m²,LB : 108 m²,,Kelapa Dua,56
"1,5 Miliar",5,3,1,LT : 100 m²,LB : 124 m²,Kelapa Dua,56
6 Miliar,7,5,4,LT : 477 m²,LB : 390 m²,Kelapa Dua,56
3 Miliar,5,3,LT:198 m²,LB : 270 m²,,Kelapa Dua,56
"1,95 Miliar",3,2,1,LT : 96 m²,LB : 120 m²,Tapos,56
"2,4 Miliar Total",LT:750 m²,,,,,Bojong Sari,56
990 Juta,3,2,1,LT : 60 m²,LB : 75 m²,Krukut,56
600 Juta,3,2,1,LT : 60 m²,LB : 50 m²,Krukut,56
"31,3 Miliar Total",LT:4823 m²,,,,,Cisalak,56
"2,8 Miliar",5,3,1,LT : 312 m²,LB : 400 m²,Cinere,56
5 Miliar,5,4,4,LT : 277 m²,LB : 500 m²,Cinere,56
"3,5 Miliar",4,4,3,LT : 267 m²,LB : 104 m²,Cinere,56
"5,4 Miliar",4,4,1,LT : 405 m²,LB : 300 m²,Cinere,56
"4,5 Miliar",3,3,2,LT : 200 m²,LB : 300 m²,Cinere,56
"114,6 Miliar Total",LT:300 m²,,,,,Depok I,57
"3,45 Miliar",4,5,2,LT : 200 m²,LB : 200 m²,Cinere,57
9 Miliar Total,LT:811 m²,,,,,Cinere,57
"1,65 Miliar",3,2,2,LT : 114 m²,LB : 180 m²,Cinere,57
"1,65 Miliar",3,3,1,LT : 133 m²,LB : 144 m²,Cinere,57
"1,5 Miliar",4,2,1,LT : 92 m²,LB : 130 m²,Cinere,57
"11,5 Miliar",5,5,2,LT : 1200 m²,LB : 530 m²,Cinere,57
"1,55 Miliar",3,3,1,LT : 120 m²,LB : 160 m²,Cinere,57
"2,65 Miliar",4,4,1,LT : 135 m²,LB : 200 m²,Cinere,57
"2,5 Miliar",4,3,5,LT : 432 m²,LB : 132 m²,Cinere,57
"1,95 Miliar",3,3,1,LT : 100 m²,LB : 154 m²,Cinere,57
6 Miliar Total,LT:477 m²,,,,,Cinere,57
13 Miliar Total,LT:1000 m²,,,,,Cinere,57
"1,7 Miliar",2,2,1,LT : 177 m²,LB : 150 m²,Limo,57
"1,8 Miliar",3,2,1,LT : 180 m²,LB : 100 m²,Cinere,57
5 Miliar,5,2,1,LT : 480 m²,LB : 300 m²,Cinere,57
"11,5 Miliar",3,3,2,LT : 770 m²,LB : 900 m²,Cinere,57
